Run,File1_NumChunks,File2_NumChunks,Num_Deltas,TotalDeltaSize,DeltaCompressionRatio,File1_AvgChunkSize,File2_AvgChunkSize,RuntimeSeconds,File1_Chunks_Same_As_Previous,File2_Chunks_Same_As_Previous
1,3561,3168,3426,4145533,1.9981553781788035,582.6116259477675,654.8863636363636,2.3536479473114014,N/A,N/A
2,3561,3168,3426,4145533,1.9981553781788035,582.6116259477675,654.8863636363636,2.3349509239196777,YES,YES
3,3561,3168,3426,4145533,1.9981553781788035,582.6116259477675,654.8863636363636,2.219430923461914,YES,YES
4,3561,3168,3426,4145533,1.9981553781788035,582.6116259477675,654.8863636363636,2.3401331901550293,YES,YES
5,3561,3168,3426,4145533,1.9981553781788035,582.6116259477675,654.8863636363636,2.3469300270080566,YES,YES
6,3561,3168,3426,4145533,1.9981553781788035,582.6116259477675,654.8863636363636,2.2847201824188232,YES,YES
7,3561,3168,3426,4145533,1.9981553781788035,582.6116259477675,654.8863636363636,2.357124090194702,YES,YES
8,3561,3168,3426,4145533,1.9981553781788035,582.6116259477675,654.8863636363636,2.233588933944702,YES,YES
9,3561,3168,3426,4145533,1.9981553781788035,582.6116259477675,654.8863636363636,2.286202907562256,YES,YES
10,3561,3168,3426,4145533,1.9981553781788035,582.6116259477675,654.8863636363636,2.2374281883239746,YES,YES
11,3561,3168,3426,4145533,1.9981553781788035,582.6116259477675,654.8863636363636,2.42014217376709,YES,YES
12,3561,3168,3426,4145533,1.9981553781788035,582.6116259477675,654.8863636363636,2.280565023422241,YES,YES
13,3561,3168,3426,4145533,1.9981553781788035,582.6116259477675,654.8863636363636,2.2525830268859863,YES,YES
14,3561,3168,3426,4145533,1.9981553781788035,582.6116259477675,654.8863636363636,2.2192540168762207,YES,YES
15,3561,3168,3426,4145533,1.9981553781788035,582.6116259477675,654.8863636363636,2.305593967437744,YES,YES
16,3561,3168,3426,4145533,1.9981553781788035,582.6116259477675,654.8863636363636,2.3107471466064453,YES,YES
17,3561,3168,3426,4145533,1.9981553781788035,582.6116259477675,654.8863636363636,2.334861993789673,YES,YES
18,3561,3168,3426,4145533,1.9981553781788035,582.6116259477675,654.8863636363636,2.3413522243499756,YES,YES
19,3561,3168,3426,4145533,1.9981553781788035,582.6116259477675,654.8863636363636,2.238370656967163,YES,YES
20,3561,3168,3426,4145533,1.9981553781788035,582.6116259477675,654.8863636363636,2.2624831199645996,YES,YES
